Greater Sage-Grouse,Near Threatened,Centrocercus urophasianus,2-7 pounds,Grasslands,https://files.worldwildlife.org/wwfcmsprod/images/SCR_202579.jpg/hero_small/6dz6wfcu7n_SCR_202579.jpg
Jaguar,Near Threatened,Panthera onca,Unknown,Forests, Grasslands,https://files.worldwildlife.org/wwfcmsprod/images/Jaguar_GPN7474/hero_small/63qidi36cn_Responsible_Forestry_8.10.2012_Biodiversiry_Loss_HI_7474.jpg
Mountain Plover,Near Threatened,Charadrius montanus,3.6 ounces,Grasslands,https://files.worldwildlife.org/wwfcmsprod/images/Mountain_Plover_84548434.jpg/hero_small/809ymvgbc4_Mountain_Plover_shutterstock_84548434.jpg
Plains Bison,Near Threatened,Bison bison bison,701 to 2000 pounds,Grasslands,https://files.worldwildlife.org/wwfcmsprod/images/Bison_Long_Shot_NGP_HERO/hero_small/6re5wyfaby_ThomasSzajner_20141004_20141004_KB1A5172.jpg
White Rhino,Near Threatened,Ceratotherium simum,3080-7920 pounds,Long and short grass savanna areas in grasslands,https://files.worldwildlife.org/wwfcmsprod/images/White_Rhino/hero_small/3yuabfu3jq_white_rhino_42993643.jpg
Yellowfin Tuna,Near Threatened,Thunnus albacares,up to 450 pounds,Oceans,https://files.worldwildlife.org/wwfcmsprod/images/Yellowfin_Tuna/hero_small/olkk54gmy_yellowfin_tuna_ISSF_MUIR_IMG_1730.JPG
Arctic Fox,Least Concern,Vulpes  lagopus,3 to 20 pounds,Tundra,https://files.worldwildlife.org/wwfcmsprod/images/Arctic_Fox/hero_small/1tsx49vxu2_shutterstock_103864847.jpg
Arctic Wolf,Least Concern,Canis lupus arctos,70 to 175 pounds,Tundra,https://files.worldwildlife.org/wwfcmsprod/images/Arctic_Wolf/hero_small/3c68fid5qo_shutterstock_78609682.jpg
Bowhead Whale,Least Concern,Balaena mysticetus,75-100 tons,Ocean,https://files.worldwildlife.org/wwfcmsprod/images/7.03.2012.Bowheadwhale.hero/hero_small/91kjknbgxk_XL_235565.jpg
Brown Bear,Least Concern,Ursus arctos,Up to 1500 lbs,Forests, Tundra,https://files.worldwildlife.org/wwfcmsprod/images/Brown_Bear/hero_small/90xwf40q7o_HI_205165_brownbear.jpg
Common Bottlenose Dolphin,Unknown,Unknown,Unknown,Unknown,https://files.worldwildlife.org/wwfcmsprod/images/HERO_Bottlenose_Dolphin_Belize_Reef/hero_small/74twg4i9cs_Large_WW22277.jpg
Gray Whale,Least Concern,Eschrichtius robustus,Unknown,Oceans,https://files.worldwildlife.org/wwfcmsprod/images/Gray_Whale_Hero_image__c__naturepl.com_Mark_Carwardine_WWF.jpg/hero_small/2i4wjqu7qj_Gray_Whale_Hero_image__c__naturepl.com_Mark_Carwardine_WWF.jpg
Macaw,Least Concern,Ara ararauna,Unknown,Unknown,https://files.worldwildlife.org/wwfcmsprod/images/Macaw/hero_small/6y7utkeaep_Macaw_hero_image__c__Zig_Koch_WWF.jpg
Narwhal,Least Concern,Monodon monoceros,up to 4200 pounds,Oceans,https://files.worldwildlife.org/wwfcmsprod/images/HERO_Narwhals_Canada/hero_small/7mb04lllbq_Medium_WW248926.jpg
Pronghorn,Least Concern,Antilocarpa americana,110 - 125 pounds,grasslands, deserts,https://files.worldwildlife.org/wwfcmsprod/images/Pronghorn/hero_small/2m4vmzst9i_shutterstock_122538310.jpg
Skipjack Tuna,Least Concern,Katsuwonus pelamis,40 pounds,Oceans,https://files.worldwildlife.org/wwfcmsprod/images/Skipjack_tuna/hero_small/71wjd28abr_skipjack_tuna_why_they_matterHI_260644.jpg
Swift Fox,Least Concern,Vulpes velox,5-7 pounds,Short- and mixed-grass prairies of the Great Plains of North America,https://files.worldwildlife.org/wwfcmsprod/images/Swift_Fox/hero_small/smjnegct1_Hargreaves_Swift_Fox.jpg
Tree Kangaroo,Least Concern,Dendrolagus sp.,up to 32 pounds,Unknown,https://files.worldwildlife.org/wwfcmsprod/images/Tree_Kangaroo/hero_small/4d8rbbqvt6_TreeKangaroo_1600x1200px.jpg
African Elephant,Unknown,Loxodonta africana,6 tons,Tropical and Subtropical Moist Broadleaf Forests, Flooded Grasslands and Savannahs, Miombo woodlands, Acacia savannahs,https://files.worldwildlife.org/wwfcmsprod/images/African_Elephant_7.27.2012_hero_and_circle_HI_53941.jpg/hero_small/37c9k1643y_African_Elephant_7.27.2012_hero_and_circle_HI_53941.jpg
Amazon River Dolphin,Unknown,Scientific Name Inia geoffrensis,Up to 352 pounds,Rivers and Lakes,https://files.worldwildlife.org/wwfcmsprod/images/Amazon_River_Dolphin_7.25.2012_Circle_and_Hero_XL_257657.jpg/hero_small/5lm3mawubh_Amazon_River_Dolphin_7.25.2012_Circle_and_Hero_XL_257657.jpg
Continental Tiger,Unknown,Panthera tigris tigris,Unknown,Unknown,https://files.worldwildlife.org/wwfcmsprod/images/HERO_Bhutan_tiger_camera_trap_photo_tiger_day_story/hero_small/4wffz7rq7w__MG_5621.jpg
Dolphins and Porpoises,Unknown,Unknown,Unknown,Oceans and freshwater rivers,https://files.worldwildlife.org/wwfcmsprod/images/Dolphin_Index_New_Hero_Image/hero_small/944lcyggz3_Dolphin_Index_Hero.jpg
Elephant,Unknown,Unknown,4-6 tons,Unknown,https://files.worldwildlife.org/wwfcmsprod/images/African_Elephant_Kenya_112367/hero_small/3v49raxlb8_WW187785.jpg
Gorilla,Unknown,Gorilla gorilla and Gorilla beringei,up to 440 pounds,Unknown,https://files.worldwildlife.org/wwfcmsprod/images/Mountain_Gorilla_Silverback_WW22557/hero_small/4vzzw2piv9_Mountain_Gorilla_Silverback_WW22557.jpg
Monarch Butterfly,Unknown,Danaus plexippus,less than half a gram,Forests, Mountains,https://files.worldwildlife.org/wwfcmsprod/images/HERO_Monarch_Blue_Sky_Iowa/hero_small/81xq6jhn58_Medium_WW225660.jpg
Pacific Salmon,Unknown,Unknown,Unknown,Lakes & Rivers, Oceans,https://files.worldwildlife.org/wwfcmsprod/images/salmon_10.28.13_Species_Hero/hero_small/220qia10o0_hero_optimized_low.jpg
Pangolin,Unknown,Unknown,4.4-7 lbs,Forests and Grasslands,https://files.worldwildlife.org/wwfcmsprod/images/Pangolin_1_27_16_Magazine/hero_small/5cm9ciocmd_IMG_0815_2_2000x1271.jpg
Penguin,Unknown,Spheniscidae,2 pounds to 80 pounds,Oceans, Coasts,https://files.worldwildlife.org/wwfcmsprod/images/HERO_Penguins_Antarctica/hero_small/2tcsbqkcyj_Medium_WW267491.jpg
Poison Dart Frog,Unknown,Dendrobates species,Unknown,Unknown,https://files.worldwildlife.org/wwfcmsprod/images/poison_dart_frog_205488/hero_small/lzgp9ptf6_poison_dart_frog_205488.jpg
Rhino,Unknown,Unknown,Unknown,Tropical and subtropical grasslands, savannahs and shrublands, tropical moist forests, deserts and shrublands,https://files.worldwildlife.org/wwfcmsprod/images/Black_Rhino_WW1106963/hero_small/5snbg63sls_Black_Rhino_WW1106963.jpg
Seals,Unknown,Unknown,Unknown,Unknown,https://files.worldwildlife.org/wwfcmsprod/images/HERO_harbor_seal_on_ice/hero_small/41yzw17euy_Harbor_Seal_on_Ice_close_0357_6_11_07.jpg
Shark,Unknown,Unknown,up to 11 tons,Oceans,https://files.worldwildlife.org/wwfcmsprod/images/Shark_Whitetip_GPN257599_Species/hero_small/7o3qoxuuq3_GPN257599_whitetip_shark.jpg
Sloth,Unknown,Unknown,Unknown,Rain Forest,https://files.worldwildlife.org/wwfcmsprod/images/Sloth_3_12_2014/hero_small/6zkz2w8nd2_sloth__c__Jorge_Salas_International_Expeditions.JPG
Tuna,Unknown,Thunnus and Katsuwonus species,40-500 pounds,Oceans,https://files.worldwildlife.org/wwfcmsprod/images/Tuna/hero_small/2rolu9e89l_Tuna_Main_8.7.2012_Hero_and_Circle_XL_259239b.jpg
apeinacoupe, 1/1, apeaous ina couperino, idk maybe like 165?, On Chain, https://cdn.discordapp.com/avatars/680787827683885097/6d25690612786bc837b04af011eb4b5e.webp
